date,MR,SR,CMR,CSR
2015-02,1.0744415807560137,1.0680518270576103,1.0744415807560137,1.0680518270576103
2015-03,0.9771718706272737,1.0194884375765974,1.0499140893470789,1.0888664884177932
2015-04,0.9709107274363802,1.0,1.019372852233677,1.0888664884177932
2015-05,0.9590409169440813,0.8953628564797008,0.977620274914089,0.9749306093947764
2015-06,1.1539610703457976,1.060614348142753,1.128135738831615,1.0340253927676577
2015-07,1.1174656360659492,1.0692111967286724,1.2606529209622004,1.1055915276489428
2015-08,0.7868338557993731,1.0,0.9919243986254306,1.1055915276489428
2015-09,1.0219989606790234,0.9414434296271416,1.0137457044673555,1.0408518795565314
2015-10,1.2971610169491528,1.2796694723618087,1.3149914089347101,1.3319463755189034
2015-11,1.2364028353967274,1.0771843663697311,1.625859106529213,1.43475181255179
2015-12,1.1395244385733154,1.104313659180977,1.8527061855670137,1.5844160241356064
2016-01,0.8574806983376229,0.959490097035757,1.5886597938144364,1.5202314847428815
2016-02,1.1786718581008002,1.051526514302703,1.8725085910652959,1.5985637140849052
2016-03,0.957882180216553,0.8975227561259703,1.7936426116838515,1.4347473105084516
2016-04,1.0691637129993297,1.0655005090781702,1.9176975945017216,1.5287239897452907
2016-05,1.1871696084580239,1.135486926359685,2.276632302405503,1.7358461043681948
2016-06,1.2635849056603772,1.2722234786841793,2.876718213058425,2.2083841693596855
2016-07,0.9312826638793487,0.9821975902376192,2.67903780068729,2.1690696094639894
2016-08,0.919317598768599,1.0,2.462886597938148,2.1690696094639894
2016-09,1.0661364587693591,0.9963848692434621,2.6257731958762918,2.1612281392057446
2016-10,1.1464468001570476,1.1266925858301597,3.0103092783505194,2.4350397207306247
2016-11,1.0598173515981733,0.9969384118557342,3.1903780068728556,2.4275846319908196
2016-12,1.3036002800517021,1.3039066576526313,4.158977663230246,3.1653437636680426
2017-01,1.0058148542155112,0.9919809688004461,4.183161512027497,3.139960773269875
2017-02,1.211698020208659,1.211898999101213,5.068728522336778,3.8053153183428323
2017-03,0.9150677966101702,0.9240190269174089,4.63823024054984,3.516183757569054
2017-04,1.2509214840060014,1.1314392225318068,5.802061855670119,3.978348216942898
2017-05,1.6963545368396107,1.6969699959141897,9.842353951890056,6.7511375574508135
2017-06,1.0670798236808798,1.078162278301666,10.502577319587651,7.2788218500691135
2017-07,1.1763312883435582,0.9633823413197109,12.354510309278375,7.012288435968652
2017-08,1.6470987055522521,1.6477018039931797,20.349097938144364,11.554160306066061
2017-09,0.9169838324604676,0.9049189441303532,18.65979381443302,10.455578544478138
2017-10,1.4803176795580117,1.477837361878453,27.622422680412427,15.451644613084527
2017-11,1.5688515667521974,1.1880155101809098,43.33548109965647,18.35679345814772
2017-12,1.3867274619616388,1.443657838222493,60.09450171821318,26.50092876048634
2018-01,0.7220586132952106,1.0,43.39175257731966,26.50092876048634
2018-02,1.0206303951849218,0.9214897224386707,44.286941580756114,24.42033348786754
2018-03,0.670329776915616,0.9604809237522475,29.686855670103164,23.45526446676496
2018-04,1.3374426646988176,1.063545083710719,39.704467353951976,24.94573121076259
2018-05,0.8098494028042234,0.9095400080131918,32.15463917525779,22.689140565331936
2018-06,0.8533584482205832,1.0,27.43943298969076,22.689140565331936
2018-07,1.2094741620876968,1.0861087161952303,33.18728522336774,24.64287333098579
2018-08,0.9080766243851925,0.9213374612920904,30.136597938144355,22.704402353713007
2018-09,0.9413181675646396,0.9127875099388115,28.36812714776634,20.724294889094587
2018-10,0.9550885056252936,0.9731084557438124,27.094072164948475,20.166986595906216
2018-11,0.6293143083630599,0.9834834468654375,17.050687285223383,19.83389749023092
2018-12,0.9300901899531412,0.8790925795260741,15.858676975945025,17.43583210674283
2019-01,0.923535307023484,1.083515099431287,14.646048109965646,18.891987358804684
2019-02,1.1126525105584235,1.0394391764070459,16.29596219931273,19.637071780928263
2019-03,1.0794738645649364,0.9918194717400903,17.591065292096232,19.476430160282504
2019-04,1.2874096503223285,1.2623431302016515,22.64690721649486,24.58593781368487
2019-05,1.622263950532985,1.5842220964749527,36.73926116838492,38.94958594699866
2019-06,1.2571525447509033,1.0866312647385763,46.18685567010315,42.32383783863103
2019-07,0.9384131767156791,0.9877878901739359,43.342353951890075,41.806974482685135
2019-08,0.9518537972864495,0.9566164349346437,41.25558419243992,39.993238885029875
2019-09,0.8652374457274352,0.9627083892250524,35.69587628865987,38.501826586899845
2019-10,1.1006859205776172,0.9565036728107219,39.289948453608325,36.8271385402912
2019-11,0.8264073381656769,0.9529721932168742,32.46950171821311,35.09523898464298
2019-12,0.948325814602654,0.9732577896138482,30.79166666666672,34.156714720163386
2020-01,1.3028612083757658,1.268347868085223,40.117268041237196,43.322596296114384
2020-02,0.9132483162549656,1.0290829054801771,36.637027491409015,44.58254326935015
2020-03,0.7529633841788704,1.0,27.586340206185643,44.58254326935015
2020-04,1.343734915370361,1.2004333794456108,37.068728522336855,53.51837308110617
2020-05,1.0947668489848892,0.9817647937940808,40.581615120275,52.542454512166884
2020-06,0.9668162669094141,0.9603193677779742,39.23496563573892,50.457536698627074
2020-07,1.2433024228423786,1.2066948412782899,48.780927835051656,60.88684923784328
2020-08,1.0237227241506845,1.0237423834078045,49.938144329897035,62.332448156941346
