time,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
1441324800,2015-09-04,1.234,1.234,1.234,1.234,Sell,40.98223186102058,1.234,1.234,1.234,1.234,1.234,1.234,1.234,1.234,1.234,,False,0.0,False,True,1441324800.0,1.234,1.234,1.0,0,0,0.0,1.0,1.0,,1.0,,False,0.0,0.0,0,2015-09-05
1441411200,2015-09-05,1.234,1.37,1.234,1.37,Buy,35.39515423306889,1.3246666666666667,1.4153333333333333,1.2793333333333332,1.4606666666666666,1.1886666666666665,1.5513333333333335,1.143333333333333,1.6420000000000001,1.0979999999999996,,False,2.468,False,True,1441411200.0,1.234,1.37,1.1102106969205836,0,0,0.008440842787682335,1.1017698541329013,1.1017698541329013,1.1102106969205836,1.1017698541329013,1.1102106969205836,True,1.0,1000.0,1,2015-09-06
1441497600,2015-09-06,1.37,1.385,1.335,1.34,Buy,30.07017461279227,1.3533333333333333,1.3716666666666666,1.3216666666666665,1.4033333333333333,1.3033333333333332,1.4216666666666666,1.2716666666666665,1.44,1.2399999999999998,,False,2.74,False,False,1441411200.0,1.234,1.34,1.0858995137763372,0,0,0.008343598055105348,1.0775559157212318,0.9780226892931955,0.9781021897810219,1.0775559157212318,1.0858995137763372,True,1.0,1000.0,0,2015-09-07
1441584000,2015-09-07,1.34,1.34,1.276,1.276,Buy,28.044926008337765,1.2973333333333334,1.3186666666666669,1.2546666666666668,1.3613333333333333,1.2333333333333334,1.382666666666667,1.1906666666666668,1.4040000000000004,1.1480000000000001,,False,2.68,False,False,1441411200.0,1.234,1.276,1.0340356564019448,0,0,0.00813614262560778,1.0258995137763371,0.9520615114341238,0.9522388059701492,1.0258995137763371,1.0340356564019448,True,1.0,1000.0,0,2015-09-08
1441670400,2015-09-08,1.276,1.276,1.263,1.263,Sell,26.878752494041446,1.2673333333333332,1.2716666666666665,1.2586666666666664,1.280333333333333,1.254333333333333,1.2846666666666666,1.2456666666666663,1.289,1.2369999999999994,1.3613333333333333,False,0.0,False,True,1441670400.0,1.276,1.263,1.0,0,0,0.0,1.0,1.0,0.9898119122257052,1.0258995137763371,1.0235008103727712,False,0.0,0.0,0,2015-09-09
1441756800,2015-09-09,1.263,1.263,1.21,1.21,Sell,27.97538638392723,1.2276666666666667,1.2453333333333334,1.1923333333333335,1.2806666666666668,1.1746666666666667,1.2983333333333333,1.1393333333333335,1.316,1.1040000000000003,1.280333333333333,False,0.0,False,False,1441670400.0,1.276,1.21,1.0,0,0,0.0,1.0,1.0,0.9580364212193191,1.0258995137763371,0.9805510534846027,False,0.0,0.0,0,2015-09-10
1441843200,2015-09-10,1.21,1.213,1.12,1.186,Sell,31.57980548325878,1.173,1.226,1.133,1.266,1.08,1.319,1.04,1.3719999999999999,1.0,1.2806666666666668,False,0.0,False,False,1441670400.0,1.276,1.186,1.0,0,0,0.0,1.0,1.0,0.9801652892561983,1.0258995137763371,0.9611021069692055,False,0.0,0.0,0,2015-09-11
1441929600,2015-09-11,1.186,1.186,0.9242,0.9242,Sell,37.84060168293237,1.0114666666666665,1.0987333333333331,0.8369333333333331,1.2732666666666663,0.7496666666666666,1.360533333333333,0.5751333333333332,1.4477999999999995,0.40059999999999973,1.266,False,0.0,False,False,1441670400.0,1.276,0.9242,1.0,0,0,0.0,1.0,1.0,0.7792580101180439,1.0258995137763371,0.7489465153970825,False,0.0,0.0,0,2015-09-12
1442016000,2015-09-12,0.9242,1.146,0.9242,1.146,Buy,43.05793184932704,1.0720666666666665,1.219933333333333,0.9981333333333331,1.2938666666666663,0.8502666666666666,1.4417333333333329,0.7763333333333332,1.5895999999999995,0.7023999999999998,1.266,False,1.8484,False,True,1442016000.0,0.9242,1.146,1.2399913438649641,0,0,0.008959965375459858,1.2310313784895042,1.2310313784895042,1.2399913438649641,1.2629144926357965,0.9286871961102103,True,1.0,1000.0,1,2015-09-13
1442102400,2015-09-13,1.146,1.146,0.8837,0.8856,Sell,47.93816598677697,0.9717666666666668,1.0598333333333336,0.7975333333333336,1.2340666666666666,0.7094666666666669,1.3221333333333334,0.5352333333333338,1.4102000000000001,0.36100000000000065,1.2938666666666663,False,0.0,False,True,1442102400.0,1.146,0.8856,1.0,0,0,0.0,1.0,1.0,0.7727748691099477,1.2629144926357965,0.7176661264181522,False,0.0,0.0,0,2015-09-14
1442188800,2015-09-14,0.8856,0.9622,0.885,0.955,Buy,52.00502776798525,0.9340666666666667,0.9831333333333334,0.9059333333333334,1.0112666666666668,0.8568666666666667,1.0603333333333333,0.8287333333333333,1.1094000000000002,0.8006,1.2938666666666663,False,1.7712,False,True,1442188800.0,0.8856,0.955,1.0783649503161696,0,0,0.008313459801264678,1.070051490514905,1.070051490514905,1.0783649503161696,1.351383535237809,0.7739059967585086,True,1.0,1000.0,1,2015-09-15
1442275200,2015-09-15,0.955,1.0,0.804,0.95,Sell,56.453016739601274,0.918,1.032,0.8360000000000001,1.114,0.7220000000000001,1.228,0.6400000000000001,1.342,0.5580000000000002,1.0112666666666668,False,0.0,False,True,1442275200.0,0.955,0.95,1.0,0,0,0.0,1.0,1.0,0.9947643979057592,1.351383535237809,0.7698541329011342,False,0.0,0.0,0,2015-09-16
1442361600,2015-09-16,0.95,0.9563,0.9363,0.9363,Sell,60.159674215947966,0.9429666666666666,0.9496333333333332,0.9296333333333332,0.9629666666666666,0.9229666666666666,0.9696333333333332,0.9096333333333332,0.9762999999999998,0.8962999999999998,1.114,False,0.0,False,False,1442275200.0,0.955,0.9363,1.0,0,0,0.0,1.0,1.0,0.9855789473684211,1.351383535237809,0.7587520259319285,False,0.0,0.0,0,2015-09-17
1442448000,2015-09-17,0.9363,0.9363,0.8238,0.875,Sell,64.36641465338425,0.8783666666666666,0.9329333333333333,0.8204333333333332,0.9908666666666667,0.7658666666666666,1.0454333333333334,0.7079333333333332,1.1,0.6499999999999998,0.9629666666666666,False,0.0,False,False,1442275200.0,0.955,0.875,1.0,0,0,0.0,1.0,1.0,0.9345295311331838,1.351383535237809,0.7090761750405185,False,0.0,0.0,0,2015-09-18
1442534400,2015-09-18,0.875,0.88,0.8523,0.8523,Sell,67.87203168458116,0.8615333333333334,0.8707666666666668,0.8430666666666667,0.8892333333333334,0.8338333333333333,0.8984666666666669,0.8153666666666667,0.9077000000000003,0.7969,0.9908666666666667,False,0.0,False,False,1442275200.0,0.955,0.8523,1.0,0,0,0.0,1.0,1.0,0.9740571428571428,1.351383535237809,0.6906807131280387,False,0.0,0.0,0,2015-09-19
1442620800,2015-09-19,0.8523,0.89,0.8013,0.89,Sell,71.20817002300674,0.8604333333333334,0.9195666666666668,0.8308666666666668,0.9491333333333335,0.7717333333333334,1.0082666666666666,0.7421666666666668,1.0674000000000001,0.7126000000000001,0.8892333333333334,False,0.0,False,False,1442275200.0,0.955,0.89,1.0,0,0,0.0,1.0,1.0,1.0442332512026282,1.351383535237809,0.7212317666126417,False,0.0,0.0,1,2015-09-20
1442707200,2015-09-20,0.89,0.95,0.88,0.9412,Sell,67.91403927919272,0.9237333333333334,0.9674666666666668,0.8974666666666669,0.9937333333333335,0.8537333333333335,1.0374666666666668,0.8274666666666669,1.0812000000000002,0.8012000000000004,0.9491333333333335,False,0.0,False,False,1442275200.0,0.955,0.9412,1.0,0,0,0.0,1.0,1.0,1.0575280898876405,1.351383535237809,0.7627228525121554,False,0.0,0.0,1,2015-09-21
1442793600,2015-09-21,0.8871,0.95,0.8871,0.9412,Sell,65.16893032601436,0.9260999999999999,0.9650999999999998,0.9021999999999999,0.9889999999999999,0.8632,1.0279999999999998,0.8392999999999999,1.0669999999999997,0.8153999999999999,0.9937333333333335,False,0.0,False,False,1442275200.0,0.955,0.9412,1.0,0,0,0.0,1.0,1.0,1.0,1.351383535237809,0.7627228525121554,False,0.0,0.0,0,2015-09-22
1442880000,2015-09-22,0.9412,0.9412,0.8059,0.8059,Sell,65.10133884090352,0.851,0.8961,0.7607999999999999,0.9863000000000001,0.7156999999999999,1.0314,0.6254999999999998,1.0765000000000002,0.5352999999999998,0.9889999999999999,False,0.0,False,False,1442275200.0,0.955,0.8059,1.0,0,0,0.0,1.0,1.0,0.8562473438164045,1.351383535237809,0.6530794165316044,False,0.0,0.0,0,2015-09-23
