date,MR,SR,CMR,CSR
2019-01,0.8361550632911392,1.1025726870410897,0.8361550632911392,1.1025726870410897
2019-02,1.27277888163497,0.8362764670332973,1.0642405063291138,0.9220555913661318
2019-03,1.0503270889087122,1.020571095740808,1.117800632911392,0.9410232852144719
2019-04,1.1349706277868217,0.90987179098749,1.2686708860759492,0.8562105418790232
2019-05,1.6684958842604154,1.4295026256732457,2.1167721518987355,1.2239552177451762
2019-06,1.0820002989983555,1.0712415324223663,2.290348101265824,1.3111516630736937
2019-07,0.755371329879102,0.9671634322340293,1.7300632911392417,1.2680979426377093
2019-08,0.7861715749039692,1.001301416917132,1.3601265822784818,1.2697482667528381
2019-09,1.0558980921358774,1.0634247433720014,1.4361550632911404,1.3502817247186805
2019-10,1.0050680328320385,0.9529675945755057,1.4434335443037982,1.286774727204426
2019-11,0.8316799123047411,0.9373169561118695,1.2004746835443045,1.206115770504934
2019-12,0.8474364043759063,1.0,1.0173259493670894,1.206115770504934
2020-01,1.3973092775487987,1.1538934202765216,1.4215189873417735,1.3917290516773904
2020-02,1.2120436331255562,1.3016559225884614,1.7229430379746846,1.811552362754298
2020-03,0.6111672329874184,1.461637111904002,1.0530063291139244,2.647832163559063
2020-04,1.5492111194590532,0.9028661320132338,1.631329113924051,2.3906379837328036
2020-05,1.1239573229873911,1.0352672296333147,1.8335443037974692,2.474949162475233
2020-06,0.9737659647911631,0.8728376746047871,1.785443037974684,2.160228871739948
2020-07,1.5375753278979085,1.319180325523055,2.7452531645569627,2.849731426226206
2020-08,1.1506051873198844,1.1734458849622704,3.1587025316455692,3.3440056153528035
