,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
11,2019-01-12,125.92,127.99,122.61,124.45,Sell,49.97464010736898,125.01666666666667,127.42333333333333,122.04333333333334,130.39666666666665,119.63666666666667,132.80333333333334,116.66333333333334,135.20999999999998,113.69000000000001,,False,0.0,False,True,11.0,125.92,124.45,1.0,0,0,0.0,1.0,1.0,,1.0,,False,0.25,250.0,0,2019-01-13
12,2019-01-13,124.45,125.34,113.5,115.32,Sell,51.875104311492144,118.05333333333333,122.60666666666665,110.76666666666665,129.89333333333332,106.21333333333332,134.44666666666666,98.92666666666665,139.0,91.63999999999997,130.39666666666665,False,0.0,False,False,11.0,125.92,115.32,1.0,0,0,0.0,1.0,1.0,0.9266372036962635,1.0,0.9266372036962635,False,0.5,500.0,0,2019-01-14
13,2019-01-14,115.32,131.7,115.28,128.31,Buy,48.49028539279569,125.09666666666665,134.9133333333333,118.49333333333331,141.51666666666662,108.67666666666666,151.3333333333333,102.07333333333332,161.14999999999992,95.46999999999998,130.39666666666665,False,230.64,False,True,13.0,115.32,128.31,1.1126430801248701,0,0,0.008450572320499481,1.1041925078043706,1.1041925078043706,1.1126430801248701,1.1041925078043706,1.0310164724789073,True,1.0,1000.0,1,2019-01-15
14,2019-01-15,128.31,130.44,116.72,120.0,Sell,45.669602960548644,122.38666666666666,128.0533333333333,114.33333333333331,136.10666666666665,108.66666666666666,141.7733333333333,100.61333333333332,147.43999999999997,92.55999999999997,141.51666666666662,False,0.0,False,True,14.0,128.31,120.0,1.0,0,0,0.0,1.0,1.0,0.9352349777881692,1.1041925078043706,0.9642426677380475,False,0.25,250.0,0,2019-01-16
15,2019-01-16,119.92,128.88,119.01,122.14,Buy,43.319034267009435,123.34333333333332,127.67666666666663,117.80666666666664,133.2133333333333,113.47333333333333,137.54666666666662,107.93666666666665,141.87999999999994,102.39999999999998,141.51666666666662,False,239.84,False,True,15.0,119.92,122.14,1.0185123415610406,0,0,0.008074049366244163,1.0104382921947965,1.0104382921947965,1.0178333333333334,1.1157183918401379,0.9814383286460426,True,0.75,750.0,1,2019-01-17
16,2019-01-17,122.18,123.96,117.41,122.45,Sell,42.208072627202604,121.27333333333333,125.13666666666666,118.58666666666666,127.82333333333332,114.72333333333333,131.68666666666667,112.03666666666666,135.54999999999998,109.35,133.2133333333333,False,0.0,False,True,16.0,122.18,122.45,1.0,0,0,0.0,1.0,1.0,1.00253807106599,1.1157183918401379,0.9839292888710327,False,0.0,0.0,1,2019-01-18
17,2019-01-18,122.32,122.71,117.74,119.78,Sell,41.282271260696916,120.07666666666667,122.41333333333334,117.44333333333334,125.04666666666667,115.10666666666667,127.38333333333334,112.47333333333334,129.72000000000003,109.84000000000002,127.82333333333332,False,0.0,False,False,16.0,122.18,119.78,1.0,0,0,0.0,1.0,1.0,0.9781951817068191,1.1157183918401379,0.9624748895138611,False,0.0,0.0,0,2019-01-19
18,2019-01-19,119.78,126.49,119.37,123.3,Sell,35.913633154180225,123.05333333333334,126.73666666666668,119.61666666666669,130.17333333333335,115.93333333333335,133.85666666666668,112.4966666666667,137.54000000000002,109.06000000000004,125.04666666666667,False,0.0,False,False,16.0,122.18,123.3,1.0,0,0,0.0,1.0,1.0,1.0293872098847887,1.1157183918401379,0.9907593411008437,False,0.0,0.0,1,2019-01-20
19,2019-01-20,123.25,123.97,112.77,117.34,Sell,35.94406734061632,118.02666666666669,123.28333333333337,112.08333333333337,129.2266666666667,106.82666666666668,134.48333333333338,100.88333333333337,139.74000000000007,94.94000000000005,130.17333333333335,False,0.0,False,False,16.0,122.18,117.34,1.0,0,0,0.0,1.0,1.0,0.9516626115166261,1.1157183918401379,0.9428686219365208,False,0.0,0.0,0,2019-01-21
20,2019-01-21,117.41,118.13,113.51,115.81,Sell,35.969429162646406,115.81666666666666,118.12333333333332,113.50333333333333,120.43666666666665,111.19666666666667,122.74333333333331,108.88333333333334,125.04999999999997,106.57000000000001,129.2266666666667,False,0.0,False,False,16.0,122.18,115.81,1.0,0,0,0.0,1.0,1.0,0.986960968126811,1.1157183918401379,0.9305745279228607,False,0.0,0.0,0,2019-01-22
21,2019-01-22,115.81,119.71,110.92,117.91,Sell,37.522148536333184,116.17999999999999,121.43999999999998,112.64999999999999,124.96999999999998,107.39,130.22999999999996,103.86,135.48999999999995,100.33,120.43666666666665,False,0.0,False,False,16.0,122.18,117.91,1.0,0,0,0.0,1.0,1.0,1.0181331491235643,1.1157183918401379,0.9474487746082764,False,0.0,0.0,1,2019-01-23
22,2019-01-23,117.91,118.89,115.0,116.59,Sell,38.81608134773883,116.82666666666667,118.65333333333334,114.76333333333334,120.71666666666667,112.93666666666667,122.54333333333334,110.87333333333333,124.37,108.81,124.96999999999998,False,0.0,False,False,16.0,122.18,116.59,1.0,0,0,0.0,1.0,1.0,0.98880502077856,1.1157183918401379,0.9368421052631579,False,0.0,0.0,0,2019-01-24
23,2019-01-24,116.59,117.33,113.68,116.39,Sell,40.76487843847156,115.8,117.91999999999999,114.27,119.44999999999999,112.15,121.56999999999998,110.62,123.68999999999997,109.09,120.71666666666667,False,0.0,False,False,16.0,122.18,116.39,1.0,0,0,0.0,1.0,1.0,0.9982845870143237,1.1157183918401379,0.9352350341502611,False,0.25,250.0,0,2019-01-25
24,2019-01-25,116.39,117.01,114.12,115.06,Sell,42.38887601408218,115.39666666666666,116.67333333333332,113.78333333333332,118.28666666666666,112.50666666666666,119.56333333333332,110.89333333333332,120.83999999999997,109.27999999999997,119.44999999999999,False,0.0,False,False,16.0,122.18,115.06,1.0,0,0,0.0,1.0,1.0,0.9885729014520148,1.1157183918401379,0.9245480112494978,False,0.25,250.0,0,2019-01-26
25,2019-01-26,115.06,117.5,114.8,114.94,Sell,42.52431103923012,115.74666666666667,116.69333333333334,113.99333333333334,118.44666666666667,113.04666666666667,119.39333333333335,111.29333333333334,120.34000000000002,109.54,118.28666666666666,False,0.0,False,False,16.0,122.18,114.94,1.0,0,0,0.0,1.0,1.0,0.998957065878672,1.1157183918401379,0.9235837685817597,False,0.0,0.0,0,2019-01-27
26,2019-01-27,114.94,115.62,110.21,111.34,Sell,45.979451262055996,112.38999999999999,114.56999999999998,109.15999999999997,117.8,106.97999999999998,119.97999999999999,103.74999999999996,122.15999999999998,100.51999999999994,118.44666666666667,False,0.0,False,False,16.0,122.18,111.34,1.0,0,0,0.0,1.0,1.0,0.9686793109448408,1.1157183918401379,0.8946564885496183,False,0.0,0.0,0,2019-01-28
27,2019-01-28,111.46,112.2,101.0,105.43,Sell,51.67276082446551,106.21,111.41999999999999,100.21999999999998,117.41,95.00999999999999,122.61999999999999,89.01999999999998,127.82999999999998,83.02999999999997,117.8,False,0.0,False,False,16.0,122.18,105.43,1.0,0,0,0.0,1.0,1.0,0.9469193461469373,1.1157183918401379,0.8471675371635194,False,0.0,0.0,0,2019-01-29
28,2019-01-29,105.54,106.0,102.0,103.83,Sell,56.41718545980678,103.94333333333333,105.88666666666666,101.88666666666666,107.94333333333333,99.94333333333333,109.88666666666666,97.88666666666666,111.82999999999998,95.82999999999998,117.41,False,0.0,False,False,16.0,122.18,103.83,1.0,0,0,0.0,1.0,1.0,0.9848240538746087,1.1157183918401379,0.8343109682603455,False,0.25,250.0,0,2019-01-30
29,2019-01-30,103.79,109.89,102.91,107.5,Sell,53.8130076901802,106.76666666666667,110.62333333333333,103.64333333333333,113.74666666666667,99.78666666666666,117.60333333333334,96.66333333333333,121.46000000000001,93.53999999999999,107.94333333333333,False,0.0,False,False,16.0,122.18,107.5,1.0,0,0,0.0,1.0,1.0,1.0353462390445922,1.1157183918401379,0.8638007231820009,False,0.0,0.0,1,2019-01-31
