trade_id,action,open_ts,close_ts,open,close,duration,sl,tp,high,low,mr,sr,win,CMR,CSR
11.0,Sell,2018-11-16,2018-11-20,178.38,145.5,4,False,False,180.38,142.62,0.843967517401392,1.0,True,0.843967517401392,1.0
15.0,Buy,2018-11-20,2018-11-22,145.34,134.6,2,False,False,149.8,121.32,0.9250859106529209,0.9241782028347324,False,0.7807424593967516,0.9241782028347324
17.0,Sell,2018-11-22,2018-11-23,134.6,123.29,1,False,False,136.76,122.24,0.9159732540861814,1.0,True,0.7151392111368908,0.9241782028347324
18.0,Buy,2018-11-23,2018-11-24,123.29,121.19,1,False,False,125.73,116.27,0.9829669884013301,0.9809840214129288,False,0.7029582366589325,0.9066040499189892
19.0,Sell,2018-11-24,2018-11-25,121.19,110.55,1,False,False,126.32,107.44,0.9122039772258437,1.0,True,0.6412412993039441,0.9066040499189892
20.0,Buy,2018-11-25,2018-11-26,110.58,114.29,1,False,False,119.54,98.04,1.0338308457711443,1.0315168204015195,True,0.662935034802784,0.9351773269355762
21.0,Sell,2018-11-26,2018-11-29,114.25,121.73,3,False,False,125.77,99.0,1.0650975588415434,1.0,False,0.7060904872389789,0.9351773269355762
24.0,Buy,2018-11-29,2018-11-30,121.73,116.26,1,False,False,123.0,113.1,0.9550644869793806,0.9531094224924013,False,0.6743619489559163,0.8913263220035545
25.0,Sell,2018-11-30,2018-12-02,116.26,116.95,2,False,False,119.79,109.14,1.005934973335627,1.0,False,0.6783642691415311,0.8913263220035545
27.0,Buy,2018-12-02,2018-12-03,116.95,114.67,1,False,False,119.7,113.84,0.9805044890979051,0.9785239846088072,False,0.6651392111368908,0.872184184193631
28.0,Sell,2018-12-03,2018-12-04,115.01,107.11,1,False,False,115.18,105.0,0.9340716839626755,1.0,True,0.6212877030162411,0.872184184193631
29.0,Buy,2018-12-04,2018-12-08,107.11,92.51,4,False,False,112.0,81.0,0.8636915320698348,0.8618278405377651,False,0.5366009280742459,0.7516726120147893
33.0,Sell,2018-12-08,2018-12-09,92.57,89.93,1,False,False,97.99,83.71,0.9721111231218247,1.0,True,0.5216357308584686,0.7516726120147893
34.0,Buy,2018-12-09,2018-12-25,89.9,139.4,16,False,False,159.2,80.56,1.5500945179584116,1.5480611790878755,True,0.8085846867749416,1.1636351900436779
50.0,Sell,2018-12-25,2018-12-26,139.4,129.12,1,False,False,140.22,120.99,0.9262553802008608,1.0,True,0.7489559164733175,1.1636351900436779
51.0,Buy,2018-12-26,2018-12-27,129.12,130.34,1,False,False,137.46,123.2,1.009448574969021,1.0074391263940519,True,0.7560324825986074,1.1722916192989794
52.0,Sell,2018-12-27,2018-12-28,130.34,114.41,1,False,False,131.77,112.43,0.8777811876630351,1.0,True,0.6636310904872386,1.1722916192989794
53.0,Buy,2018-12-28,2018-12-30,114.53,133.95,2,False,False,147.0,113.03,1.1707892666724937,1.1673929974679123,True,0.7769721577726214,1.3685250273599483
55.0,Sell,2018-12-30,2019-01-01,134.0,130.86,2,False,False,140.54,127.78,0.9769316909294515,1.0,True,0.7590487238979117,1.3685250273599483
57.0,Buy,2019-01-01,2019-01-03,130.86,153.51,2,False,False,157.09,129.52,1.1730857404860155,1.1709126547455293,True,0.8904292343387469,1.6024232728717351
