trade_id,action,open_ts,close_ts,open,close,duration,sl,tp,high,low,mr,sr,win,CMR,CSR
26.0,Buy,2015-09-02,2015-09-05,1.36,1.234,3,False,False,1.372,1.14,0.9292168674698794,0.8997235294117646,False,0.9292168674698794,0.8997235294117646
29.0,Sell,2015-09-05,2015-09-12,1.234,0.9242,7,False,False,1.385,0.9242,0.7489465153970825,1.0,True,0.6959337349397587,0.8997235294117646
36.0,Buy,2015-09-12,2015-09-15,0.9242,0.955,3,False,False,1.146,0.8837,1.03332611988747,1.02519281540792,True,0.7191265060240959,0.9223900982063974
39.0,Sell,2015-09-15,2015-09-18,0.955,0.875,3,False,False,1.0,0.804,0.9162303664921466,1.0,True,0.6588855421686742,0.9223900982063974
42.0,Buy,2015-09-18,2015-09-20,0.875,0.89,2,False,False,0.89,0.8013,1.0171428571428571,1.0090742857142856,True,0.6701807228915658,0.9307601294975502
44.0,Sell,2015-09-20,2015-09-23,0.89,0.8059,3,False,False,0.95,0.8059,0.905505617977528,1.0,True,0.6068524096385538,0.9307601294975502
47.0,Buy,2015-09-23,2015-09-30,0.8059,0.6816,7,False,False,0.91,0.5,0.8457625015510609,0.8383794515448567,False,0.5132530120481924,0.780330166887976
54.0,Cash,2015-09-30,2015-10-02,0.6816,0.6548,2,False,False,0.74,0.5046,0.960680751173709,1.0,True,0.4930722891566262,0.780330166887976
56.0,Buy,2015-10-02,2015-10-03,0.6548,0.6647,1,False,False,0.666,0.6548,1.015119120342089,1.0070586438607207,True,0.5005271084337346,0.7858382396298149
57.0,Sell,2015-10-03,2015-10-05,0.6647,0.6095,2,False,False,0.6796,0.6095,0.9169550173010382,1.0,True,0.45896084337349374,0.7858382396298149
59.0,Buy,2015-10-05,2015-10-06,0.6095,0.6078,1,False,False,0.6095,0.6078,0.9972108285479901,0.9892219852337982,False,0.457680722891566,0.7773684634792387
60.0,Sell,2015-10-06,2015-10-08,0.6078,0.6,2,False,False,0.6511,0.6,0.9871668311944718,1.0,True,0.4518072289156624,0.7773684634792387
62.0,Buy,2015-10-08,2015-10-09,0.6,0.62,1,False,False,0.64,0.6,1.0333333333333334,1.0252000000000001,True,0.4668674698795178,0.7969581487589156
63.0,Sell,2015-10-09,2015-10-11,0.62,0.6352,2,False,False,0.6352,0.5701,1.024516129032258,1.0,False,0.4783132530120479,0.7969581487589156
65.0,Buy,2015-10-11,2015-10-13,0.6352,0.63,2,False,False,0.639,0.5993,0.9918136020151133,0.9838463476070529,False,0.47439759036144546,0.7840843638521374
67.0,Sell,2015-10-13,2015-10-15,0.63,0.4832,2,False,False,0.65,0.4832,0.766984126984127,1.0,True,0.3638554216867467,0.7840843638521374
69.0,Buy,2015-10-15,2015-10-16,0.4832,0.56,1,False,False,0.56,0.4832,1.1589403973509935,1.1503046357615896,True,0.42168674698795156,0.9019358785672906
70.0,Sell,2015-10-16,2015-10-17,0.56,0.525,1,False,False,0.5622,0.525,0.9375,1.0,True,0.3953313253012046,0.9019358785672906
71.0,Buy,2015-10-17,2015-10-18,0.525,0.523,1,False,False,0.54,0.52,0.9961904761904762,0.9882057142857142,False,0.393825301204819,0.8912981891195026
72.0,Sell,2015-10-18,2015-10-19,0.523,0.505,1,False,False,0.523,0.505,0.9655831739961759,1.0,True,0.38027108433734913,0.8912981891195026
73.0,Buy,2015-10-19,2015-11-13,0.505,0.88,25,False,False,1.34,0.411,1.7425742574257423,1.73160396039604,True,0.662650602409638,1.5433754741731494
98.0,Sell,2015-11-13,2015-11-15,0.88,0.88,2,False,False,0.91,0.8395,1.0,1.0,False,0.662650602409638,1.5433754741731494
100.0,Buy,2015-11-15,2015-11-16,0.88,0.9193,1,False,False,0.9193,0.8746,1.044659090909091,1.0364804545454545,True,0.6922439759036139,1.5996785130052922
101.0,Sell,2015-11-16,2015-11-17,0.9193,0.925,1,False,False,0.925,0.6612,1.0062003698466224,1.0,False,0.6965361445783127,1.5996785130052922
102.0,Buy,2015-11-17,2015-11-25,0.925,0.91,8,False,False,1.0,0.8827,0.9837837837837838,0.9758486486486486,False,0.6852409638554212,1.561044115188494
110.0,Sell,2015-11-25,2015-11-26,0.91,0.87,1,False,False,0.9126,0.8674,0.956043956043956,1.0,True,0.6551204819277103,1.561044115188494
111.0,Buy,2015-11-26,2015-11-27,0.87,0.86,1,False,False,0.91,0.8155,0.9885057471264368,0.980551724137931,False,0.6475903614457826,1.5306844986034487
112.0,Sell,2015-11-27,2015-12-03,0.86,0.82,6,False,False,0.91,0.8,0.9534883720930233,1.0,True,0.6174698795180719,1.5306844986034487
118.0,Buy,2015-12-03,2015-12-04,0.82,0.83,1,False,False,0.83,0.7979,1.0121951219512195,1.0041463414634146,True,0.6249999999999996,1.5370312392074141
119.0,Sell,2015-12-04,2015-12-07,0.83,0.825,3,False,False,0.87,0.8246,0.9939759036144579,1.0,True,0.6212349397590358,1.5370312392074141
122.0,Buy,2015-12-07,2015-12-08,0.825,0.79,1,False,False,0.825,0.7829,0.9575757575757576,0.9497454545454546,False,0.5948795180722888,1.4597884329316089
123.0,Sell,2015-12-08,2015-12-14,0.79,0.9199,6,False,False,0.9749,0.761,1.1644303797468354,1.0,False,0.6926957831325297,1.4597884329316089
129.0,Buy,2015-12-14,2015-12-24,0.9199,0.8709,10,False,False,1.1,0.8,0.9467333405804979,0.9389464072181759,False,0.6557981927710839,1.3706631043997852
139.0,Sell,2015-12-24,2016-01-02,0.8709,0.9204,9,False,False,1.0,0.84,1.0568377540475369,1.0,False,0.6930722891566259,1.3706631043997852
148.0,Buy,2016-01-02,2016-01-03,0.9204,0.9547,1,False,False,0.9547,0.9204,1.0372664059104737,1.0291173402868319,True,0.7189006024096379,1.410573168429199
149.0,Sell,2016-01-03,2016-01-10,0.9547,0.985,7,False,False,0.998,0.8416,1.031737718655075,1.0,False,0.7417168674698789,1.410573168429199
156.0,Buy,2016-01-10,2016-01-18,0.985,1.32,8,False,False,1.33,0.985,1.3401015228426394,1.330741116751269,True,0.9939759036144568,1.8771077134148484
164.0,Sell,2016-01-18,2016-01-20,1.32,1.355,2,False,False,1.55,1.22,1.0265151515151514,1.0,False,1.0203313253012036,1.8771077134148484
166.0,Buy,2016-01-20,2016-01-21,1.355,1.403,1,False,False,1.61,1.281,1.0354243542435424,1.0272826568265683,True,1.0564759036144566,1.92832019898645
167.0,Sell,2016-01-21,2016-01-22,1.403,1.496,1,False,False,1.54,1.403,1.0662865288667143,1.0,False,1.1265060240963845,1.92832019898645
168.0,Buy,2016-01-22,2016-02-02,1.496,2.165,11,False,False,2.88,1.1,1.4471925133689842,1.4374037433155082,True,1.6302710843373482,2.771774672334029
179.0,Sell,2016-02-02,2016-02-03,2.165,2.447,1,False,False,2.447,2.12,1.1302540415704387,1.0,False,1.8426204819277094,2.771774672334029
