,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,ASR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
26,2018-09-07,229.01,234.61,212.74,214.96,Sell,52.54638967745969,220.77,228.8,206.93,242.64,198.9,250.67000000000002,185.06,258.70000000000005,171.22,,False,0.0,False,True,26.0,229.01,214.96,1.0,0,0,0.0,1.0,1.0,,,1.0,,False,0.99285316,99.0,0,2018-09-08
27,2018-09-08,214.96,219.69,188.4,196.13,Sell,56.73478921164016,201.40666666666667,214.41333333333333,183.12333333333333,232.6966666666667,170.11666666666667,245.70333333333332,151.83333333333334,258.71,133.55,242.64,False,0.0,False,False,26.0,229.01,196.13,1.0,0,0,0.0,1.0,1.0,0.912402307406029,,1.0,0.912402307406029,False,0.9996696,99.0,0,2018-09-09
28,2018-09-09,196.13,208.5,185.0,195.52,Buy,60.40655828733403,196.34,207.68,184.18,219.84000000000003,172.84,231.18,160.68,242.52,148.52,242.64,False,392.26,False,True,28.0,196.13,195.52,0.9968898179778719,0,0,0.007987559271911488,0.9889022587059604,0.9889022587059604,0.9968898179778719,,0.9889022587059604,0.9095645701525866,True,1.0101732,101.0,0,2018-09-10
29,2018-09-10,195.52,202.53,186.44,196.98,Buy,63.466365850412245,195.3166666666667,204.19333333333338,188.10333333333338,211.4066666666667,179.2266666666667,220.2833333333334,172.01333333333338,229.16000000000008,164.80000000000007,242.64,False,391.04,False,False,28.0,196.13,196.98,1.0043338601947687,0,0,0.008017335440779075,0.9963165247539896,1.007497471042013,1.0074672667757774,,0.9963165247539896,0.9163565314477112,True,1.0018643,100.0,1,2018-09-11
30,2018-09-11,197.01,199.34,176.0,185.1,Sell,66.64396737749537,186.81333333333336,197.62666666666672,174.28666666666672,210.15333333333336,163.47333333333336,220.96666666666673,150.94666666666672,231.7800000000001,138.42000000000007,211.4066666666667,False,0.0,False,True,30.0,197.01,185.1,1.0,0,0,0.0,1.0,1.0,0.9396893085592446,,0.9963165247539896,0.8610904354298474,False,0.99993455,99.0,0,2018-09-12
31,2018-09-12,184.87,184.87,166.76,183.02,Buy,69.75348696329787,178.21666666666667,189.67333333333335,171.56333333333333,196.3266666666667,160.10666666666665,207.78333333333336,153.45333333333332,219.24000000000004,146.79999999999998,211.4066666666667,False,369.74,False,True,31.0,184.87,183.02,0.9899929680315898,0,0,0.00795997187212636,0.9820329961594634,0.9820329961594634,0.9887628309022151,,0.9784157019273445,0.851414216598437,True,1.0112159,101.0,0,2018-09-13
32,2018-09-13,183.02,216.06,183.0,211.78,Buy,60.268256675711136,203.61333333333334,224.2266666666667,191.16666666666669,236.67333333333335,170.55333333333334,257.2866666666667,158.10666666666668,277.90000000000003,145.66000000000003,211.4066666666667,False,366.04,False,False,31.0,184.87,211.78,1.1455617460918484,0,0,0.008582246984367395,1.1369794991074809,1.1577813612719559,1.1571412960332204,,1.132791463267297,0.9852065500558244,True,1.0010406,100.0,1,2018-09-14
33,2018-09-14,211.4,223.86,202.05,208.52,Sell,50.388719822966074,211.4766666666667,220.90333333333336,199.09333333333336,233.2866666666667,189.66666666666669,242.71333333333337,177.28333333333336,252.14000000000004,164.90000000000003,236.67333333333335,False,0.0,False,True,33.0,211.4,208.52,1.0,0,0,0.0,1.0,1.0,0.9846066672962509,,1.132791463267297,0.9700409378489022,False,0.98136353,98.0,0,2018-09-15
34,2018-09-15,208.52,227.92,207.88,221.76,Sell,42.861610841204715,219.18666666666664,230.49333333333328,210.4533333333333,239.22666666666663,199.14666666666665,250.53333333333327,190.4133333333333,261.8399999999999,181.67999999999995,233.2866666666667,False,0.0,False,False,33.0,211.4,221.76,1.0,0,0,0.0,1.0,1.0,1.0634951083828887,,1.132791463267297,1.0316337923334573,False,0.9989896,99.0,1,2018-09-16
35,2018-09-16,221.63,223.66,205.52,219.79,Sell,35.866941077780105,216.32333333333335,227.1266666666667,208.9866666666667,234.46333333333334,198.18333333333337,245.26666666666668,190.84666666666672,256.07000000000005,183.51000000000008,239.22666666666663,False,0.0,False,False,33.0,211.4,219.79,1.0,0,0,0.0,1.0,1.0,0.9911165223665224,,1.132791463267297,1.0224692966133233,False,0.9861091,98.0,0,2018-09-17
36,2018-09-17,219.79,225.0,191.68,195.76,Sell,33.51787249250364,204.14666666666668,216.61333333333334,183.29333333333335,237.46666666666664,170.82666666666668,249.93333333333334,149.97333333333336,262.4,129.12000000000003,234.46333333333334,False,0.0,False,False,33.0,211.4,195.76,1.0,0,0,0.0,1.0,1.0,0.8906683652577461,1.0136214087179394,1.132791463267297,0.9106810569408261,False,0.9978034,99.0,0,2018-09-18
37,2018-09-18,195.75,214.92,193.53,208.22,Buy,31.56031533810659,205.55666666666664,217.5833333333333,196.1933333333333,226.94666666666663,184.16666666666666,238.97333333333327,174.8033333333333,250.99999999999991,165.43999999999997,234.46333333333334,False,391.5,False,True,37.0,195.75,208.22,1.0637037037037036,0,0,0.008254814814814816,1.0554488888888889,1.0554488888888889,1.0636493665713118,1.0136214087179394,1.1956034912482874,0.9686453293636025,True,1.0222197,102.0,1,2018-09-19
38,2018-09-19,208.11,214.95,197.0,209.83,Buy,29.914795897440325,207.26,217.51999999999998,199.57,225.20999999999998,189.31,235.46999999999997,181.62,245.72999999999996,173.93,234.46333333333334,False,416.22,False,False,37.0,195.75,209.83,1.0719284802043423,0,0,0.008287713920817369,1.063640766283525,1.0077615102738513,1.0077322063202383,1.0191662976068283,1.2048831800290634,0.9761350949013771,True,1.0030669,100.0,1,2018-09-20
39,2018-09-20,209.83,230.13,205.82,223.82,Buy,27.3681273984871,219.92333333333332,234.02666666666664,209.71666666666664,244.2333333333333,195.61333333333332,258.33666666666664,185.40666666666664,272.43999999999994,175.19999999999996,234.46333333333334,False,419.66,False,False,37.0,195.75,223.82,1.143397190293742,0,0,0.008573588761174969,1.1348236015325672,1.0669237561265752,1.0666730210170137,1.0210522227636174,1.2855184881303408,1.0412169705991812,True,1.0027316,100.0,1,2018-09-21
40,2018-09-21,223.82,255.66,220.47,247.4,Buy,30.594547857561043,241.17666666666665,261.8833333333333,226.6933333333333,276.3666666666667,205.98666666666665,297.07333333333327,191.5033333333333,317.78,177.01999999999995,234.46333333333334,False,447.64,False,False,37.0,195.75,247.4,1.2638569604086847,0,0,0.009055427841634739,1.2548015325670498,1.1057238595253516,1.1053525154141721,1.0269948512720737,1.4214284641866752,1.150911797543729,True,1.0047092,100.0,1,2018-09-22
41,2018-09-22,247.4,254.59,232.64,240.48,Buy,33.283231573456,242.57000000000002,252.50000000000006,230.55000000000004,264.52000000000004,220.62,274.45000000000005,208.60000000000002,284.3800000000001,196.58000000000004,234.46333333333334,False,494.8,False,False,37.0,195.75,240.48,1.2285057471264367,0,0,0.008914022988505747,1.2195917241379308,0.9719399382967859,0.9720291026677444,1.0375672372246088,1.3815430937748923,1.1187197618161517,True,1.0112722,101.0,0,2018-09-23
42,2018-09-23,240.48,249.0,236.46,244.61,Buy,35.523801336701794,243.35666666666668,250.25333333333336,237.71333333333337,255.89666666666668,230.8166666666667,262.79333333333335,225.17333333333337,269.69000000000005,219.53000000000006,234.46333333333334,False,480.96,False,False,37.0,195.75,244.61,1.2496040868454663,0,0,0.008998416347381865,1.2406056704980843,1.0172303123613005,1.0171739853626083,1.0365579314383413,1.4053475128212312,1.137932638630443,True,1.0076648,100.0,1,2018-09-24
43,2018-09-24,244.62,246.0,224.3,228.05,Buy,31.61236241821163,232.78333333333333,241.26666666666665,219.56666666666666,254.4833333333333,211.08333333333334,262.96666666666664,197.86666666666667,271.44999999999993,184.65,234.46333333333334,False,489.24,False,False,37.0,195.75,228.05,1.1650063856960409,0,0,0.008660025542784163,1.1563463601532566,0.9320821173491824,0.9323003965496096,1.0225028265472758,1.3098992853618205,1.0608950502419054,True,1.0091769,100.0,0,2018-09-25
44,2018-09-25,228.05,228.05,203.11,219.1,Buy,30.51082088515597,216.75333333333333,230.39666666666665,205.45666666666665,241.69333333333333,191.81333333333333,255.33666666666664,180.51666666666665,268.97999999999996,169.21999999999997,234.46333333333334,False,456.1,False,False,37.0,195.75,219.1,1.1192848020434227,0,0,0.008477139208173692,1.110807662835249,0.9606184626966161,0.9607542205656654,1.015711038282194,1.258313437791668,1.0192593970971342,True,1.0120553,101.0,0,2018-09-26
