,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,ASR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
26,2018-08-07,405.01,410.73,367.41,377.85,Sell,97.99009074955127,385.3300000000001,403.25000000000017,359.9300000000002,428.65000000000015,342.0100000000001,446.57000000000016,316.6100000000002,464.49000000000024,291.21000000000026,,False,0.0,False,True,26.0,405.01,377.85,1.0,0,0,0.0,1.0,1.0,,,1.0,,False,0.9915315,99.0,0,2018-08-08
27,2018-08-08,377.8,383.65,347.6,355.18,Cash,98.2222520813779,362.1433333333334,376.6866666666667,340.63666666666677,398.19333333333327,326.0933333333334,412.7366666666667,304.5866666666668,427.28000000000003,283.0800000000002,,False,755.6,False,True,27.0,377.8,355.18,0.9401270513499206,0,0,0.007760508205399683,0.9323665431445209,1.0,0.9400026465528648,,1.0,0.9400026465528648,True,1.0056148,100.0,0,2018-08-09
28,2018-08-09,355.18,369.79,351.0,362.88,Cash,98.4157198579001,361.22333333333336,371.4466666666667,352.6566666666667,380.0133333333333,342.43333333333334,390.23666666666674,333.8666666666667,400.4600000000001,325.3,,False,710.36,False,False,27.0,377.8,362.88,0.9605082053996823,0,0,0.007842032821598729,0.9526661725780836,1.0,1.0216791486007095,,1.0,0.9603811036125446,True,1.0011808,100.0,1,2018-08-10
29,2018-08-10,362.88,365.49,325.01,331.57,Cash,98.61381216580422,340.69,356.37,315.89,381.1700000000001,300.21,396.85,275.40999999999997,412.53000000000003,250.60999999999996,380.0133333333333,False,0.0,False,True,29.0,362.88,331.57,1.0,0,0,0.0,1.0,1.0,0.9137180335097002,,1.0,0.8775175334127299,False,0.9944273,99.0,0,2018-08-11
30,2018-08-11,331.57,332.31,304.47,317.8,Cash,98.79562571489646,318.1933333333333,331.91666666666663,304.07666666666665,346.0333333333333,290.35333333333335,359.7566666666666,276.2366666666667,373.4799999999999,262.12,380.0133333333333,False,663.14,False,True,30.0,331.57,317.8,0.9584703079289442,0,0,0.007833881231715776,0.9506364266972284,1.0,0.9584703079289442,,1.0,0.8410745004631467,True,1.0046444,100.0,0,2018-08-12
31,2018-08-12,317.78,327.34,314.47,318.12,Cash,98.94713700580665,319.97666666666663,325.48333333333323,312.6133333333333,332.8466666666666,307.1066666666667,338.3533333333332,299.74333333333334,343.8599999999998,292.38,380.0133333333333,False,635.56,False,False,30.0,331.57,318.12,0.9594354133365504,0,0,0.007837741653346202,0.9515976716832042,1.0,1.0010069225928258,,1.0,0.8419213973799127,True,1.0025611,100.0,1,2018-08-13
32,2018-08-13,318.12,322.47,280.0,283.88,Cash,99.09210545544636,295.45,310.9,268.42999999999995,337.9200000000001,252.97999999999996,353.37,225.95999999999992,368.82,198.93999999999988,380.0133333333333,False,636.24,False,False,30.0,331.57,283.88,0.856169134722683,0,0,0.007424676538890732,0.8487444581837922,1.0,0.8923676600025148,,1.0,0.75130342728596,True,1.0020324,100.0,0,2018-08-14
33,2018-08-14,283.88,288.84,250.0,278.1,Cash,99.2215824814311,272.31333333333333,294.62666666666667,255.7866666666667,311.1533333333333,233.47333333333336,333.46666666666664,216.94666666666672,355.78,200.42000000000007,380.0133333333333,False,567.76,False,False,30.0,331.57,278.1,0.8387369182977954,0,0,0.007354947673191182,0.8313819706246042,1.0,0.9796392842045936,,1.0,0.7360063517268758,True,1.0226899,102.0,0,2018-08-15
34,2018-08-15,278.1,305.0,275.64,281.2,Cash,94.15995909183512,287.28,298.91999999999996,269.55999999999995,316.64,257.91999999999996,328.28,240.19999999999993,339.91999999999996,222.4799999999999,380.0133333333333,False,556.2,False,False,30.0,331.57,281.2,0.8480863769339807,0,0,0.007392345507735923,0.8406940314262448,1.0,1.0111470693994964,,1.0,0.7442106656080454,True,1.0031942,100.0,1,2018-08-16
35,2018-08-16,281.2,299.98,277.59,286.68,Cash,89.94193960050514,288.0833333333333,298.57666666666665,276.1866666666666,310.4733333333333,265.69333333333327,320.9666666666667,253.79666666666657,331.46000000000004,241.89999999999986,316.64,False,0.0,False,True,35.0,281.2,286.68,1.0,0,0,0.0,1.0,1.0,1.0194879089615931,,1.0,0.7587137753076616,False,0.99540997,99.0,1,2018-08-17
36,2018-08-17,286.68,318.54,284.9,317.96,Cash,80.67924258169388,307.1333333333334,329.3666666666668,295.72666666666674,340.7733333333334,273.49333333333334,363.00666666666683,262.0866666666667,385.24000000000024,250.68000000000006,310.4733333333333,False,0.0,False,False,35.0,281.2,317.96,1.0,0,0,0.0,1.0,1.0,1.1091112041300404,1.0,1.0,0.8414979489215294,False,0.9938796,99.0,1,2018-08-18
37,2018-08-18,317.95,321.73,282.32,294.76,Cash,72.05511723396283,299.6033333333333,316.8866666666666,277.4766666666666,339.01333333333326,260.19333333333327,356.2966666666666,238.06666666666655,373.5799999999999,215.93999999999983,340.7733333333334,False,0.0,False,False,35.0,281.2,294.76,1.0,0,0,0.0,1.0,1.0,0.927034847150585,1.0,1.0,0.7800979224560008,False,0.9814658,98.0,0,2018-08-19
38,2018-08-19,294.76,306.74,288.53,299.47,Buy,64.86834611085364,298.24666666666667,307.96333333333337,289.75333333333333,316.4566666666667,280.03666666666663,326.1733333333334,271.5433333333333,335.8900000000001,263.04999999999995,340.7733333333334,False,589.52,False,True,38.0,294.76,299.47,1.0159791016420139,0,0,0.008063916406568056,1.0079151852354458,1.0079151852354458,1.0159791016420139,1.0,1.0079151852354458,0.7925631864496492,True,1.0134369,101.0,1,2018-08-20
39,2018-08-20,299.47,304.63,268.0,270.59,Sell,62.10714390279315,281.0733333333333,294.14666666666665,257.51666666666665,317.7033333333334,244.44333333333333,330.77666666666664,220.88666666666666,343.84999999999997,197.32999999999998,316.4566666666667,False,0.0,False,True,39.0,299.47,270.59,1.0,0,0,0.0,1.0,1.0,0.9035629612315088,1.0007915185235445,1.0079151852354458,0.7161307397115254,False,0.9942964,99.0,0,2018-08-21
