,ADX_cc,ADX_kr,ATR_cc,ATR_kr,BTC/ETH_cc,BTC/ETH_kr,DMA_cc,DMA_kr,DR_cc,DR_kr,HH_cc,HH_kr,LL_cc,LL_kr,MA2_cc,MA2_kr,MAR_cc,MAR_kr,MA_cc,MA_kr,Price_Rise_cc,Price_Rise_kr,RSI_BTC_cc,RSI_BTC_kr,RSI_cc,RSI_kr,STD_cc,STD_kr,VOL_cc,VOL_kr,WR_cc,WR_kr,close_btc_cc,close_btc_kr,close_cc,close_kr,date_btc_cc,date_btc_kr,date_cc,date_kr,high_btc_cc,high_btc_kr,high_cc,high_kr,low_btc_cc,low_btc_kr,low_cc,low_kr,open_btc_cc,open_btc_kr,open_cc,open_kr,time,volume_btc_cc,volume_btc_kr,volume_cc,volume_kr,volumeto,volumeto_btc
1005,83.46509389585813,83.46511253714738,27.553932656055604,27.550241722677544,6278.187095333779,6278.187095333779,1.0181772629008543,1.0181772629008543,1.0111470693994964,1.0111470693994964,0.5901931189287511,0.5901931189287511,1.10256,1.10256,0.5521055503296646,0.5521055503296634,1.1883103793416372,1.1883103793416407,0.656072755948867,0.6560727559488676,1,1.0,33.327979821158735,30.89990039853588,38.064075394384886,33.85992891392469,0.1116650295989684,0.11166502959905553,2.999444481818053,3.0097235933222133,-73.95442023541199,-73.95442023541199,0.044789999999999996,0.04479,281.2,281.2,2018-08-15,2018-08-15,2018-08-15,2018-08-15,0.04639,0.04639,305.0,305.0,0.044180000000000004,0.04418,275.64,275.64,0.04494,0.04494,278.1,278.1,1534291200,14644.75,14637.65156088,118213.66,118047.83586651,34138165.8,662.93
1006,80.84295533231698,80.84297113756699,27.1850803234802,27.18165302820058,6314.537444933921,6314.537444933921,1.026908003374595,1.026908003374595,1.0194879089615931,1.0194879089615931,0.5804791207090059,0.5804791207090059,1.1103599999999998,1.1103599999999998,0.5680139661533593,0.5680139661533581,1.186108800180484,1.1861088001804874,0.6737263638799189,0.6737263638799196,1,1.0,33.97246557011713,31.591668169761,38.46518951570082,34.31407735114857,0.07683520103485332,0.0768352010349767,1.2130398581003203,1.2189923305152548,-68.23967443068663,-68.23967443068663,0.0454,0.0454,286.68,286.68,2018-08-16,2018-08-16,2018-08-16,2018-08-16,0.04629,0.04629,299.98,299.98,0.0446,0.0446,277.59,277.59,0.044789999999999996,0.04479,281.2,281.2,1534377600,5923.16,5918.85641988,46912.52,46911.51798546,13518686.46,268.01
1007,72.98285331824628,72.98286664563341,27.646146014660196,27.64296352618625,6589.844559585492,6589.844559585492,1.1144299110665783,1.1144299110665783,1.1091112041300404,1.1091112041300404,0.6163938232903751,0.6163938232903751,1.1396,1.1396,0.6354313532893222,0.6354313532893207,1.181592327629522,1.1815923276295257,0.7508208117819073,0.750820811781908,1,1.0,36.8812852532116,34.70791012596965,40.70198159969812,36.840085852980025,0.06022712873672751,0.06022712873685576,1.6413544947526897,1.6493303654023774,-17.434090632972932,-17.434090632972932,0.04825,0.04825,317.96,317.96,2018-08-17,2018-08-17,2018-08-17,2018-08-17,0.0485,0.0485,318.54,318.54,0.0453,0.0453,284.9,284.9,0.0454,0.0454,286.68,286.68,1534464000,12617.15,12616.75089906,64006.36,64004.48139613,19310558.33,595.77
1008,65.5373971758209,65.5374084230266,28.486421299327326,28.483466131458673,6406.433384046946,6406.433384046946,0.9332156906150652,0.9332156906150652,0.9270348471505849,0.9270348471505849,0.6225666627965479,0.6225666627965479,1.1292799999999998,1.1292799999999998,0.5941638659434423,0.5941638659434411,1.179266869893958,1.1792668698939617,0.7006777623952165,0.7006777623952171,0,0.0,35.62266361899301,33.48457880951525,39.61222586964719,35.79820299054278,0.057574820583329585,0.057574820583486314,1.4610506684757938,1.4470407047134743,-42.1256788207913,-42.1256788207913,0.04601,0.04601,294.76,294.76,2018-08-18,2018-08-18,2018-08-18,2018-08-18,0.048639999999999996,0.04864,321.73,321.73,0.04485,0.04485,282.32,282.32,0.04825,0.04826,317.96,317.95,1534550400,4813.92,4774.12102349,58046.72,57173.7157815,17387553.07,223.84
1009,59.33285039046643,59.332859904187615,27.752391206518237,27.74964712206877,6486.246480398528,6486.2464803985295,1.023451876052305,1.0234518760523053,1.015979101642014,1.015979101642014,0.5935601222957545,0.5935601222957545,1.1541199999999998,1.1541199999999998,0.6082860721846907,0.6082860721846891,1.1789024987140972,1.1789024987141017,0.7171099704315156,0.7171099704315163,1,1.0,35.7823945934923,33.655018053131144,39.94532025290491,36.17215450170804,0.04604598176369636,0.0460459817638868,0.7378956538192193,0.7420478245539743,-31.73727059472884,-31.73727059472884,0.046169999999999996,0.04617,299.47,299.47,2018-08-19,2018-08-19,2018-08-19,2018-08-19,0.04741,0.04741,306.74,306.74,0.04562,0.04562,288.53,288.53,0.04601,0.04601,294.76,294.76,1534636800,7127.37,7127.23765795,28742.07,28741.58188136,8558052.57,332.8
1010,57.40473394480447,57.40474199945991,28.38650612033836,28.383958041921,6250.6352506352505,6250.6352506352505,0.9114758219533884,0.9114758219533884,0.9035629612315088,0.9035629612315088,0.5894771469484114,0.5894771469484114,1.072,1.072,0.5542486284092635,0.5542486284092621,1.1793053987449638,1.1793053987449678,0.6536283997300357,0.6536283997300364,0,0.0,34.22277806947832,32.142257942903406,38.6127229718696,34.90027162198706,0.058446661600741384,0.05844666160092555,1.6246738289301037,1.6332697954660758,-71.29513453227385,-71.29513453227385,0.043289999999999995,0.04329,270.59,270.59,2018-08-20,2018-08-20,2018-08-20,2018-08-20,0.046669999999999996,0.04667,304.63,304.63,0.04244,0.04244,268.0,268.0,0.046169999999999996,0.04617,299.47,299.47,1534723200,16852.46,16852.34952156,65053.32,65039.78134098,18442657.16,747.6
1011,55.79797024008616,55.79797707885349,27.53746996888562,27.535103896069497,6468.6346863468625,6468.6346863468625,1.0464673814194023,1.0464673814194023,1.0365497616319894,1.0365497616319894,0.5539107550601804,0.5539107550601804,1.079,1.079,0.5798426932750419,0.5798426932750406,1.1796316618624647,1.1796316618624685,0.6840007998868449,0.6840007998868456,1,1.0,34.29380682571792,32.21782199390996,39.32009991425311,35.69044299079528,0.055420422845926735,0.05542042284610743,1.0000524128786457,1.0050008847241558,-76.77275265214959,-76.77275265214959,0.04336,0.04336,280.48,280.48,2018-08-21,2018-08-21,2018-08-21,2018-08-21,0.04406,0.04406,286.25,286.25,0.0425,0.0425,269.75,269.75,0.043289999999999995,0.04329,270.59,270.12,1534809600,6619.62,6619.33065258,40850.88,40846.87593767,11342220.63,286.99
1012,49.103483121152756,49.10348888842166,28.569079256822363,28.566882189207398,6360.895170789163,6360.895170789163,0.9718068275189928,0.9718068275189928,0.9627067883628064,0.9627067883628064,0.5821626223925075,0.5821626223925075,1.03548,1.03548,0.5635480695942854,0.5635480695942839,1.1795207600250268,1.1795207600250308,0.6647166473584882,0.6647166473584888,0,0.0,33.809506467280706,31.74883489414002,38.83712022638309,35.22896466323915,0.06337989876178124,0.06337989876195205,1.8011860744311323,1.8098676165435177,-82.26216990136815,-82.26216990136815,0.04245,0.04245,270.02,270.02,2018-08-22,2018-08-22,2018-08-22,2018-08-22,0.04392,0.04392,300.85,300.85,0.04141,0.04141,258.87,258.87,0.04336,0.04336,280.48,280.48,1534896000,9239.66,9239.54349999,76360.03,76359.42696245,21295230.95,396.46
1013,43.52474385537493,43.52474872972847,27.455573595620766,27.453533461406867,6519.744620477655,6519.744620477656,1.0307963661212138,1.0307963661212138,1.0211095474409304,1.0211095474409304,0.5441387050582452,0.5441387050582452,1.0728799999999998,1.0728799999999998,0.5806416287953788,0.5806416287953774,1.1800523259397058,1.1800523259397098,0.6851875045974061,0.6851875045974066,1,1.0,33.724060520182206,31.666133606073647,39.25203897069203,35.69133076844745,0.06456771129864602,0.06456771129880713,0.9766067553424462,0.9667713890259192,-73.19440025453385,-73.19440025453385,0.042289999999999994,0.04229,275.72,275.72,2018-08-23,2018-08-23,2018-08-23,2018-08-23,0.04326,0.04326,281.2,281.2,0.042,0.042,268.22,268.22,0.04245,0.04245,270.02,270.02,1534982400,6903.28,6902.23789323,41463.71,40829.71206637,11330654.26,292.59
1014,38.007403749400616,38.00740787182111,26.437318338790714,26.43542392844923,6695.838287752676,6695.838287752676,1.0306984571564304,1.0306984571564304,1.0211809081677063,1.0211809081677063,0.5483958357521576,0.5483958357521576,1.0808,1.0808,0.5982879648625895,0.5982879648625881,1.1804043292323472,1.180404329232351,0.7062217038514109,0.7062217038514116,1,1.0,33.594109124352244,31.540381113675316,39.679847536321276,36.167715086674725,0.04058282391489877,0.04058282391514603,0.6407311870488711,0.643463321398385,-63.903913458479174,-63.903913458479174,0.04205,0.04205,281.56,281.56,2018-08-24,2018-08-24,2018-08-24,2018-08-24,0.04241,0.04241,283.4,283.4,0.04167,0.04167,270.2,270.2,0.042289999999999994,0.04229,275.72,275.72,1535068800,7858.5,7856.65584435,27282.92,27255.01603786,7574974.78,330.64
1015,33.40962032775536,33.409623823564985,25.04608131459137,25.04432221927429,6747.8155339805835,6747.8155339805835,0.99693985241843,0.99693985241843,0.9873916749538286,0.9873916749538286,0.5482023298115253,0.5482023298115253,1.1053600000000001,1.1053600000000001,0.5956719773841359,0.5956719773841345,1.1819601860476383,1.181960186047642,0.7040605612123179,0.7040605612123184,0,0.0,33.132706971483586,31.09412770357507,39.50727001739421,36.00228767973081,0.035660199736675995,0.035660199736965464,0.288909235207424,0.2901157166032503,-60.01671192813874,-60.01671192813874,0.0412,0.0412,278.01,278.01,2018-08-25,2018-08-25,2018-08-25,2018-08-25,0.04208,0.04208,283.3,283.3,0.0411,0.0411,276.34,276.34,0.04205,0.04205,281.56,281.55,1535155200,2365.73,2363.37805507,12228.26,12214.41580324,3414915.24,98.27
