y_pred_id,SRAvg,SRTotal,DRAvg,DRTotal,Count
94.0,1.0,1.0,1.00326209223847,1.00326209223847,1.0
95.0,1.0,1.0,0.9576836505013301,0.9576836505013301,1.0
96.0,1.0,1.0,0.9692507942196956,0.716210018111574,10.0
97.0,1.0,1.0,1.008438402509705,1.5583338311880932,58.0
98.0,1.0,1.0,0.9953827632532928,0.3799759525325155,155.0
99.0,1.0,1.0,0.9988584971356164,0.7129218188961133,149.0
100.0,1.0053355999566813,1.7343717457895822,1.006153488701877,1.8070096382822463,121.0
101.0,1.0084088372461448,1.6900077082982943,1.0039124781372792,1.193593450463942,69.0
102.0,1.022584670651108,1.8033530165538543,1.0251582864014053,1.924079120939192,28.0
103.0,0.9920019888183024,0.8929098099186515,0.9861879019701482,0.8260696278948584,12.0
104.0,0.9882177215189873,0.9882177215189873,0.9962025316455696,0.9962025316455696,1.0
107.0,0.9000854197175655,0.9000854197175655,0.9004381694255112,0.9004381694255112,1.0
113.0,1.0271900097329376,1.054746395938031,1.0270848295293806,1.0545333004711863,2.0
133.0,1.2412298320103377,1.2412298320103377,1.245173745173745,1.245173745173745,1.0
