time,date,open,high,low,close,volume,signal,ATR,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,ASR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
1556409600,2019-04-28,155.73,156.49,152.38,153.2,35477.04190128,Sell,9.018775325664247,154.02333333333334,155.66666666666669,151.55666666666667,158.13333333333333,149.91333333333333,159.7766666666667,147.44666666666666,161.42000000000004,144.98,,False,0.0,False,True,1556409600.0,155.73,153.2,1.0,0,0,0.0,1.0,1.0,,,1.0,,False,0.9833708,98.0,0,2019-04-29
1556496000,2019-04-29,153.25,157.33,149.0,152.29,83029.76398999,Sell,8.969577088116802,152.87333333333333,156.74666666666667,148.41666666666666,161.20333333333338,144.54333333333332,165.07666666666668,140.08666666666664,168.95000000000002,135.62999999999997,158.13333333333333,False,0.0,False,False,1556409600.0,155.73,152.29,1.0,0,0,0.0,1.0,1.0,0.9940600522193211,,1.0,0.9940600522193211,False,0.9921471,99.0,0,2019-04-30
1556582400,2019-04-30,152.3,161.0,152.29,160.36,71281.4011982,Sell,8.951035867537032,157.88333333333333,163.47666666666666,154.76666666666665,166.59333333333333,149.17333333333332,172.18666666666667,146.05666666666664,177.78,142.93999999999997,161.20333333333338,False,0.0,False,False,1556409600.0,155.73,160.36,1.0,0,0,0.0,1.0,1.0,1.052991004005516,,1.0,1.0467362924281987,False,0.9844486,98.0,1,2019-05-01
1556668800,2019-05-01,160.31,163.08,156.75,158.36,57416.74008544,Sell,8.763819019855816,159.39666666666668,162.04333333333335,155.71333333333334,165.7266666666667,153.06666666666666,168.37333333333336,149.38333333333333,171.02000000000004,145.7,166.59333333333333,False,0.0,False,False,1556409600.0,155.73,158.36,1.0,0,0,0.0,1.0,1.0,0.9875280618608132,,1.0,1.0336814621409924,False,0.9908814,99.0,0,2019-05-02
1556755200,2019-05-02,158.36,160.51,154.6,158.81,48310.09412123,Sell,8.55997480415183,157.97333333333333,161.34666666666666,155.43666666666667,163.88333333333335,152.06333333333333,167.25666666666666,149.52666666666667,170.63,146.99,165.7266666666667,False,0.0,False,False,1556409600.0,155.73,158.81,1.0,0,0,0.0,1.0,1.0,1.0028416266734024,,1.0,1.036618798955614,False,0.9984572,99.0,1,2019-05-03
1556841600,2019-05-03,158.81,169.0,157.93,164.8,99011.9756974,Sell,8.739262318140984,163.91,169.89,158.82,174.97999999999996,152.84,180.95999999999998,147.75,186.93999999999997,142.66,163.88333333333335,False,0.0,False,False,1556409600.0,155.73,164.8,1.0,0,0,0.0,1.0,1.0,1.0377180278320006,,1.0,1.0757180156657968,False,0.9990748,99.0,1,2019-05-04
1556928000,2019-05-04,164.8,168.87,158.05,161.95,87417.92167235,Buy,8.887886438273771,162.95666666666668,167.86333333333334,157.04333333333335,173.7766666666667,152.13666666666668,178.68333333333334,146.22333333333336,183.59,140.31000000000003,163.88333333333335,False,329.6,False,True,1556928000.0,164.8,161.95,0.9827063106796116,0,0,0.007930825242718447,0.9747754854368931,0.9747754854368931,0.9827063106796116,,0.9747754854368931,1.0571148825065277,True,1.0038503,100.0,0,2019-05-05
1557014400,2019-05-05,161.95,163.52,157.12,161.34,35731.85908758,Cash,8.71018026411136,160.66,164.2,157.79999999999998,167.06,154.26,170.6,151.39999999999998,174.14,148.53999999999996,0.0,False,0.0,False,True,1557014400.0,161.95,161.34,1.0,0,0,0.008,0.992,1.0,0.9962334053720285,,0.9747754854368931,1.05313315926893,True,1.0019481,100.0,0,2019-05-06
1557100800,2019-05-06,161.34,175.95,157.0,171.2,125001.99247965,Buy,9.441595959531977,168.04999999999998,179.09999999999997,160.14999999999998,187.0,149.1,198.04999999999995,141.2,209.09999999999994,133.29999999999998,0.0,False,322.68,False,True,1557100800.0,161.34,171.2,1.0611131771414404,0,0,0.008244452708565761,1.0528687244328747,1.0528687244328747,1.0611131771414404,,1.026310621960378,1.1174934725848569,True,1.0005555,100.0,1,2019-05-07
1557187200,2019-05-07,171.2,180.75,165.6,166.23,157215.39030951,Buy,9.849339105279695,170.86,176.12000000000003,160.97000000000003,186.01000000000002,155.71,191.27000000000004,145.82000000000002,196.53000000000006,135.93000000000004,0.0,False,342.4,False,False,1557100800.0,161.34,166.23,1.0303086649312012,0,0,0.008121234659724804,1.0221874302714764,0.9708593355948295,0.9709696261682244,,0.9964032485503688,1.0850522193211494,True,1.0113864,101.0,0,2019-05-08
