y_pred_id,SRAvg,SRTotal,DRAvg,DRTotal,Count
496.0,1.0,1.0,1.0028502899767484,1.0063463503707275,6.0
497.0,1.0,1.0,1.0097938737764718,1.577185596735483,53.0
498.0,1.0,1.0,0.9977223048670746,0.5733939161921867,170.0
499.0,1.0,1.0,0.9918410235770316,0.3336720665443895,106.0
500.0,1.000943479861049,0.9843905988658675,1.0026248671601223,1.1023352233187116,78.0
501.0,1.0011989152915832,1.0161010504791974,1.0040532019487098,1.1657648425713445,49.0
502.0,1.0052678858879744,1.191770829789447,1.0040395537534152,1.11588400899885,42.0
503.0,1.0000421266812505,0.9477540934822336,0.9993371298930501,0.9147213499768869,50.0
504.0,1.018661661999892,1.6939363852429445,1.017555717390856,1.6333757763494565,30.0
505.0,1.0092503911119832,1.2004087122865184,1.0095345523107782,1.2077775752900026,23.0
506.0,1.020575652863776,1.1331406569530966,1.0225469726855139,1.1498702777663041,7.0
507.0,1.0,1.0,0.9713388967692946,0.9103375763588211,3.0
508.0,0.9787866119335669,0.9575732238671336,0.9673289156930627,0.9356321999952976,2.0
519.0,1.2412298320103377,1.2412298320103377,1.245173745173745,1.245173745173745,1.0
